Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,season,scraped_date
Sheffield Utd,35,35.8,38.0,17951,2817,7156,7145,3830,646,17946,581,251,43.2,286,49.2,8332,43412,20412,346,287,128,489,322,9458,875,2023-2024,2025-08-19
Tottenham,29,61.6,38.0,28529,2791,8520,12260,8010,1316,28527,812,359,44.2,363,44.7,18087,92824,46598,957,634,349,559,375,20484,2097,2023-2024,2025-08-19
West Ham,26,41.1,38.0,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,556,369,168,515,397,12459,1192,2023-2024,2025-08-19
Wolves,27,48.9,38.0,23487,2823,8674,10264,4804,739,23483,823,415,50.4,324,39.4,13055,71341,36731,671,519,168,536,389,15352,1163,2023-2024,2025-08-19
Arsenal,26,59.3,38.0,25910,1994,6632,11453,8015,1296,25906,758,358,47.2,290,38.3,15923,83916,44184,824,584,281,526,378,18101,2024,2022-2023,2025-08-19
Aston Villa,26,49.3,38.0,21500,2783,7912,9077,4705,746,21495,682,293,43.0,279,40.9,12295,65580,33150,637,434,174,565,371,13587,1227,2022-2023,2025-08-19
Bournemouth,31,40.4,38.0,19950,2934,8004,7933,4256,699,19950,743,329,44.3,344,46.3,10340,55360,27431,504,389,144,589,367,11617,986,2022-2023,2025-08-19
Brentford,25,43.8,38.0,19749,2632,7290,7803,4835,827,19741,600,267,44.5,248,41.3,10409,49018,23993,392,300,102,520,336,11203,1121,2022-2023,2025-08-19
Brighton,29,60.2,38.0,26728,2471,7844,12213,6873,1102,26722,726,345,47.5,279,38.4,16331,83718,43965,809,547,250,558,324,18991,1828,2022-2023,2025-08-19
Chelsea,32,58.7,38.0,27166,2564,8461,12057,6850,958,27163,838,380,45.3,352,42.0,16538,83509,43596,829,622,216,568,381,19065,1729,2022-2023,2025-08-19
Crystal Palace,26,46.3,38.0,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238,2022-2023,2025-08-19
Everton,28,42.8,38.0,20233,2527,7219,8418,4830,742,20229,674,310,46.0,296,43.9,10479,56737,27858,500,391,137,605,300,11708,1042,2022-2023,2025-08-19
Fulham,29,48.8,38.0,22162,2563,7462,9525,5416,758,22153,607,281,46.3,238,39.2,12252,68216,35374,663,474,124,535,379,13848,1316,2022-2023,2025-08-19
Leeds United,29,47.0,38.0,21642,2125,6971,9290,5587,796,21639,689,269,39.0,328,47.6,11343,55029,27060,555,379,146,602,421,12330,1418,2022-2023,2025-08-19
Leicester City,28,47.7,38.0,23124,2681,8409,10293,4641,688,23118,623,294,47.2,245,39.3,12503,63356,31619,580,363,175,548,313,14797,1294,2022-2023,2025-08-19
Liverpool,28,60.8,38.0,28398,2310,8119,13329,7149,1252,28394,693,323,46.6,281,40.5,17148,82470,41527,719,569,234,584,413,19921,1974,2022-2023,2025-08-19
Manchester City,24,64.7,38.0,29895,2170,7410,14372,8301,1277,29885,704,336,47.7,239,33.9,19122,104099,56216,988,754,279,406,298,22992,2054,2022-2023,2025-08-19
Manchester Utd,26,53.7,38.0,24847,2639,8093,10389,6569,1036,24844,730,317,43.4,338,46.3,14245,70351,37126,711,515,239,497,293,16447,1578,2022-2023,2025-08-19
Newcastle Utd,27,52.3,38.0,22106,2088,6757,9053,6516,1161,22100,784,350,44.6,322,41.1,12023,64186,32987,695,493,228,576,363,13803,1599,2022-2023,2025-08-19
Nott'ham Forest,33,37.6,38.0,17911,2715,7420,6953,3755,611,17905,572,258,45.1,234,40.9,8674,46411,24020,436,308,111,537,275,9452,847,2022-2023,2025-08-19
Southampton,36,44.5,38.0,21094,2639,7453,8997,4879,712,21090,760,362,47.6,318,41.8,11323,61002,29821,588,452,131,567,401,12216,1112,2022-2023,2025-08-19
Tottenham,29,50.0,38.0,23836,2734,8571,10329,5135,842,23830,666,306,45.9,288,43.2,13679,71290,36842,692,465,189,521,356,15864,1436,2022-2023,2025-08-19
West Ham,25,42.1,38.0,20411,2362,6898,8704,4993,756,20403,615,250,40.7,266,43.3,10540,57451,28247,615,413,166,458,357,12256,1266,2022-2023,2025-08-19
