matchday,date,time,Home team,away team,home team final goals,away team final goals,home team halftime goals,away team halftime goals,winner
,,1400,Fulham FC,Chelsea FC,1,2,1,0,away
,,1630,Leicester City FC,Liverpool FC,0,1,0,0,away
,,2000,Tottenham Hotspur FC,Nottingham Forest FC,1,2,0,2,away
,,2000,Manchester City FC,Aston Villa FC,2,1,1,1,home
,,2000,Arsenal FC,Crystal Palace FC,2,2,2,1,draw
,,1230,Chelsea FC,Everton FC,1,0,1,0,home
,,1500,Brighton & Hove Albion FC,West Ham United FC,3,2,1,0,home
,,1400,AFC Bournemouth,Manchester United FC,1,1,1,0,draw
,,1630,Liverpool FC,Tottenham Hotspur FC,5,1,3,1,home
,,1930,Nottingham Forest FC,Brentford FC,0,2,0,1,away
,,2000,Manchester City FC,Wolverhampton Wanderers FC,1,0,1,0,home
,,1230,Aston Villa FC,Fulham FC,1,0,1,0,home
,,1500,Everton FC,Ipswich Town FC,2,2,2,1,draw
,,1730,Arsenal FC,AFC Bournemouth,1,2,1,0,away
,,1400,Brentford FC,Manchester United FC,4,3,2,1,home
,,1630,Chelsea FC,Liverpool FC,3,1,1,0,home
,,2000,Crystal Palace FC,Nottingham Forest FC,1,1,0,0,draw
,,1500,Fulham FC,Everton FC,1,3,1,1,away
,,1730,AFC Bournemouth,Aston Villa FC,0,1,0,1,away
,,1200,Newcastle United FC,Chelsea FC,2,0,1,0,home
,,1415,Manchester United FC,West Ham United FC,0,2,0,1,away
,,1630,Liverpool FC,Arsenal FC,2,2,2,0,draw
,,1930,Aston Villa FC,Tottenham Hotspur FC,2,0,0,0,home
,,2015,Chelsea FC,Manchester United FC,1,0,0,0,home
,,1200,Everton FC,Southampton FC,2,0,2,0,home
,,1415,West Ham United FC,Nottingham Forest FC,1,2,0,1,away
,,1500,Brentford FC,Fulham FC,2,3,2,1,away
,,1630,Arsenal FC,Newcastle United FC,1,0,0,0,home
,,2000,Brighton & Hove Albion FC,Liverpool FC,3,2,1,2,home
,,2000,Crystal Palace FC,Wolverhampton Wanderers FC,4,2,2,1,home
,,1600,AFC Bournemouth,Leicester City FC,2,0,0,0,home
