Age,Appearances,Assists,Club,Year,Nat.,Player,Position
27,38,8,Everton FC,2022,Nigeria,Alex Iwobi,Left Winger
23,38,8,Brentford FC,2022,Cameroon,Bryan Mbeumo,Right Winger
26,26,7,Arsenal FC,2022,Brazil,Gabriel Jesus,Centre-Forward
27,28,7,Manchester City,2022,England,Jack Grealish,Left Winger
23,30,7,Tottenham Hotspur,2022,Sweden,Dejan Kulusevski,Attacking Midfield
25,33,7,AFC Bournemouth,2022,England,Dominic Solanke,Centre-Forward
26,33,7,Brighton & Hove Albion,2022,Japan,Kaoru Mitoma,Left Winger
25,35,7,Brighton & Hove Albion,2022,Ecuador,Pervis Estupiñán,Left-Back
22,35,7,Aston Villa,2022,England,Jacob Ramsey,Left Midfield
23,35,15,Newcastle United,2023,England,Anthony Gordon,Left Winger
28,37,15,Aston Villa,2023,England,Ollie Watkins,Centre-Forward
24,20,12,Wolverhampton Wanderers,2023,Portugal,Pedro Neto,Right Winger
22,35,12,Arsenal FC,2023,England,Bukayo Saka,Right Winger
22,34,11,for 2 clubs,2023,England,Cole Palmer,Attacking Midfield
25,35,11,Arsenal FC,2023,Norway,Martin Ødegaard,Attacking Midfield
22,35,11,for 2 clubs,2023,Wales,Brennan Johnson,Right Winger
32,36,11,Brighton & Hove Albion,2023,Germany,Pascal GroÃŸ,Central Midfield
32,18,10,Manchester City,2023,Belgium,Kevin De Bruyne,Attacking Midfield
33,28,10,Newcastle United,2023,England,Kieran Trippier,Right-Back
27,28,10,Tottenham Hotspur,2023,England,James Maddison,Attacking Midfield
21,29,10,Manchester City,2023,Belgium,Jérémy Doku,Left Winger
31,32,10,Liverpool FC,2023,Egypt,Mohamed Salah,Right Winger
27,34,10,Manchester City,2023,Spain,Rodri,Defensive Midfield
31,35,10,Tottenham Hotspur,2023,"Korea, South",Heung-min Son,Left Winger
24,36,10,Liverpool FC,2023,Uruguay,Darwin Núñez,Centre-Forward
24,36,10,Manchester City,2023,Argentina,Julián Álvarez,Centre-Forward
24,37,10,Nottingham Forest,2023,England,Morgan Gibbs-White,Attacking Midfield
24,38,10,Aston Villa,2023,France,Moussa Diaby,Right Winger
29,33,9,Manchester City,2023,Portugal,Bernardo Silva,Attacking Midfield
23,33,9,West Ham United,2023,Ghana,Mohammed Kudus,Right Winger
21,34,9,Liverpool FC,2023,England,Harvey Elliott,Attacking Midfield
26,35,9,Aston Villa,2023,Jamaica,Leon Bailey,Right Winger
22,36,9,Nottingham Forest,2023,Sweden,Anthony Elanga,Right Winger
25,38,9,Arsenal FC,2023,England,Declan Rice,Central Midfield
32,38,18,Liverpool FC,2024,Egypt,Mohamed Salah,Right Winger
30,35,12,Newcastle United,2024,England,Jacob Murphy,Right Winger
23,25,11,Arsenal FC,2024,England,Bukayo Saka,Right Winger
30,36,11,Manchester United,2024,Portugal,Bruno Fernandes,Attacking Midfield
22,37,11,Aston Villa,2024,England,Morgan Rogers,Attacking Midfield
24,38,11,Brentford FC,2024,Denmark,Mikkel Damsgaard,Attacking Midfield
23,38,11,Nottingham Forest,2024,Sweden,Anthony Elanga,Right Winger
21,29,10,Manchester City,2024,Brazil,Savinho,Right Winger
32,30,10,Tottenham Hotspur,2024,"Korea, South",Heung-min Son,Left Winger
28,34,10,West Ham United,2024,England,Jarrod Bowen,Right Winger
25,34,10,Nottingham Forest,2024,England,Morgan Gibbs-White,Attacking Midfield
27,36,10,Fulham FC,2024,United States,Antonee Robinson,Left-Back
23,37,9,Chelsea FC,2024,England,Cole Palmer,Attacking Midfield
25,21,8,Everton FC,2024,England,Dwight McNeil,Left Winger
22,26,8,Manchester United,2024,Cote d'Ivoire,Amad Diallo,Right Winger
26,30,8,Arsenal FC,2024,Norway,Martin Ødegaard,Attacking Midfield
26,34,8,Crystal Palace,2024,England,Eberechi Eze,Attacking Midfield
30,38,8,Arsenal FC,2024,Belgium,Leandro Trossard,Left Winger
29,38,8,Aston Villa,2024,England,Ollie Watkins,Centre-Forward
25,38,8,Brentford FC,2024,Cameroon,Bryan Mbeumo,Right Winger
33,28,7,Manchester City,2024,Belgium,Kevin De Bruyne,Attacking Midfield
28,31,7,Tottenham Hotspur,2024,England,James Maddison,Attacking Midfield
34,33,7,Manchester City,2024,Germany,?lkay Gündo?an,Central Midfield
26,33,7,Liverpool FC,2024,England,Trent Alexander-Arnold,Right-Back
26,35,7,Arsenal FC,2024,England,Declan Rice,Central Midfield
